鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
觀音區,土地,保潭段19-4地號,564.47,,工業區,丁種建築用地,1100705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,70000,124,,0.0,0,實拿不含稅不含健保補充費,RPWNMLTJPHGGFBH56CC
觀音區,土地,觀玉段50地號,2098.18,,工業區,特定目的事業用地,1100705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,75000,36,,0.0,0,含稅含健保補充費不含管理費,RPOOMLTJPHGGFBH48CC
觀音區,土地,觀玉段50-1地號,1951.01,,工業區,特定目的事業用地,1100705,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,75000,38,,0.0,0,含稅含健保補充費不含管理費,RPPOMLTJPHGGFBH58CC
中壢區,建物,桃園市中壢區龍興路１６７號十二樓之１２,0.0,住,,,1100701,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970508,130.68,3,2,2,有,有,有,20000,153,,0.0,0,租金含管理費。,RPQPMLTJPHGGFBH78CC
觀音區,建物,桃園市觀音區十全路１２６巷１９弄３號４樓,0.0,商,,,1100623,土地0建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850423,61.33,2,1,1,有,無,有,7000,114,,0.0,0,,RPSPMLTJPHGGFBH98CC
中壢區,建物,桃園市中壢區三和一街２號２樓,0.0,住,,,1100625,土地0建物1車位0,二層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820526,97.54,2,1,2,有,有,有,12000,123,,0.0,0,管理費由承租人負擔每月700元整,RPPRMLTJPHGGFBH88CC
中壢區,建物,桃園市中壢區元化路３２３號,0.0,商,,,1100610,土地0建物1車位0,一層,24,店面(店鋪),店舖,鋼筋混凝土造,1010322,134.87,0,0,0,無,有,無,110000,816,,0.0,0,租金調整:第1-2年每月11萬，第3-4年每月11.5萬，第5-6年每月12萬,RPVRMLTJPHGGFBH86CC
龜山區,建物,桃園市龜山區樂學路１０１號十四樓之３,0.0,住,,,1100702,土地0建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091116,162.48000000000002,3,2,2,有,有,有,24500,151,坡道平面,29.88,0,,RPTNMLTJPHGGFHH86CC
八德區,房地(土地+建物),桃園市八德區建國路９０３號,5.38,,一般農業區,甲種建築用地,1100615,土地1建物0車位0,全,5,透天厝,住商用,鋼筋混凝土造,0841002,21.36,1,0,1,有,無,有,9000,421,,0.0,0,隔間套房,RPPNMLKKPHGGFFH08CC
八德區,房地(土地+建物),桃園市八德區介壽路二段３６１巷２７號,9.46,,鄉村區,乙種建築用地,1100619,土地1建物0車位0,全,3,透天厝,店舖，住宅，人行道,鋼筋混凝土，加強磚造,0680701,25.55,1,0,1,有,無,有,8000,313,,0.0,0,隔間套房,RPQNMLKKPHGGFFH18CC
